op,mode,n,construct_ms,heap_mb,op_mean_us,op_p50_us,op_p99_us
decision,full,10000,1.333,10.531,4.787,4.250,13.667
decision,scoped,10000,0.001,0.000,5.201,4.000,28.000
entitlements,full,10000,1.100,10.438,7498.569,7405.125,9875.458
entitlements,scoped,10000,0.009,0.031,128.138,87.583,412.709
decision,full,50000,3.669,45.227,4.652,4.292,9.875
decision,scoped,50000,0.002,0.000,5.633,4.292,37.458
entitlements,full,50000,3.612,45.289,38569.421,38207.125,41661.083
entitlements,scoped,50000,0.024,0.227,484.791,440.500,866.708
decision,full,100000,7.192,88.492,5.067,4.750,9.583
decision,scoped,100000,0.002,0.008,5.507,4.709,18.250
entitlements,full,100000,7.082,88.633,82465.631,81970.542,94486.083
entitlements,scoped,100000,0.043,0.547,894.044,965.875,1109.750
decision,full,500000,32.888,435.977,14.219,13.958,21.709
decision,scoped,500000,0.005,0.023,14.224,12.125,83.542
entitlements,full,500000,36.787,433.969,445375.893,444265.917,469335.125
entitlements,scoped,500000,0.192,3.922,4544.987,4621.791,5330.375
decision,full,1000000,67.546,873.406,28.712,28.333,37.791
decision,scoped,1000000,0.008,0.047,26.722,23.959,126.083
entitlements,full,1000000,57.990,873.703,926816.476,927642.000,978459.750
entitlements,scoped,1000000,0.624,8.492,9237.686,9121.625,11025.167
