layer,arm,ops,groups,conds,ns_op,allocs_op,bytes_op
operator,native,legacy,1,1,23,1,16
operator,cel,legacy,1,1,530,18,775
operator,cel_compile,legacy,1,1,81996,1470,104992
operator,native,legacy,3,3,469,12,168
operator,cel,legacy,3,3,4565,148,4635
operator,cel_compile,legacy,3,3,347849,6873,454014
operator,native,legacy,10,5,8314,60,880
operator,cel,legacy,10,5,32318,804,24448
operator,cel_compile,legacy,10,5,2346127,37318,3332060
operator,native,decomposed,1,1,49,2,21
operator,cel,decomposed,1,1,539,18,775
operator,cel_compile,decomposed,1,1,80042,1470,104981
operator,native,decomposed,3,3,676,18,216
operator,cel,decomposed,3,3,4605,148,4635
operator,cel_compile,decomposed,3,3,332661,6794,450069
operator,native,decomposed,10,5,9399,100,1120
operator,cel,decomposed,10,5,34218,804,24369
operator,cel_compile,decomposed,10,5,1869539,35297,2587945
