	Time 	message
	December 26th 2019, 15:37:15.092	1CN-0106 | 2019-12-26 15:37:15,092 | 10 | run_service_with_exceptions.py:57 | <function create_flask_app.<locals>.upsert_post.<locals>.upsert at 0x7f240278d940>
	December 26th 2019, 15:37:15.092	1CN-0106 | 2019-12-26 15:37:15,092 | 20 | run_service_with_exceptions.py:56 | +=+=+=+=+=+ Request 1CN-0106 Start
	December 26th 2019, 15:37:15.093	1CN-0106 | 2019-12-26 15:37:15,093 | 20 | create_flask_app.py:108 | +=+=+=+=+=+ Upsert service runner starting
	December 26th 2019, 15:37:15.093	1CN-0106 | 2019-12-26 15:37:15,092 | 10 | run_service_with_exceptions.py:58 | <Request 'http://api-develop01.develop.virtru.com/upsert' [POST]>
	December 26th 2019, 15:37:15.102	#033[36mkas_1  |#033[0m 1CN-0106 | 2019-12-26 15:37:15,092 | 20 | run_service_with_exceptions.py:56 | +=+=+=+=+=+ Request 1CN-0106 Start
	December 26th 2019, 15:37:15.103	#033[36mkas_1  |#033[0m 1CN-0106 | 2019-12-26 15:37:15,092 | 10 | run_service_with_exceptions.py:57 | <function create_flask_app.<locals>.upsert_post.<locals>.upsert at 0x7f240278d940>
	December 26th 2019, 15:37:15.103	#033[36mkas_1  |#033[0m 1CN-0106 | 2019-12-26 15:37:15,092 | 10 | run_service_with_exceptions.py:58 | <Request 'http://api-develop01.develop.virtru.com/upsert' [POST]>
	December 26th 2019, 15:37:15.103	#033[36mkas_1  |#033[0m 1CN-0106 | 2019-12-26 15:37:15,093 | 20 | create_flask_app.py:108 | +=+=+=+=+=+ Upsert service runner starting
	December 26th 2019, 15:37:15.111	1CN-0106 | 2019-12-26 15:37:15,111 | 10 | create_flask_app.py:119 | +=+=+=+=+=+ Upsert Request is Valid
	December 26th 2019, 15:37:15.111	1CN-0106 | 2019-12-26 15:37:15,111 | 20 | upsert.py:24 | ===== UPSERT SERVICE START ====
